,日期,标题,阅读量,链接
30,04.29(周四),理大「新鲜人」: 我的英文系学习日记!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649901059&idx=1&sn=ce83a8e0c9b12e0fef72e41f7424ffc0&chksm=8f5cd8b6b82b51a00ad5af5fa9dce3a2a47e8161bae6bf700a1c47390b57300fd60e717440e1#rd
31,04.27(周二),上线了! 理大本科课程内地招生370人 教务长为你详细介绍!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900960&idx=1&sn=32a1dbb679ddcb085622a9e1cd8273ed&chksm=8f5cd715b82b5e030807a5ba3883ea1b883f3ab0087d2bb805bdfd7e607ed70d31163d92ff1a#rd
32,04.27(周二),上线了! 理大本科课程内地招生370人 教务长为你详细介绍!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900959&idx=1&sn=5e17673211c0b934be0b790f3caa9ff2&chksm=8f5cd72ab82b5e3c112b76bc3d41419e4686880fa3e0e59b2423d4099e97936c869e066b021f#rd
33,04.23(周五),重磅! 理大云讲堂(5) 多学科视角看语言 你还未报名?,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900909&idx=1&sn=bb4e89a845477ac3329089500eb10038&chksm=8f5cd7d8b82b5ecedf37a9efc473f449c77dfb88e1771eed7dbb0bf9f92c6f1d3cf9d8fa30c3#rd
34,04.23(周五),直播通道来了! 明天理大云讲堂(4)工程管理在航空业的应用,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900871&idx=1&sn=7b55dea9f488902c3e52fc10662a6b70&chksm=8f5cd7f2b82b5ee4945f5421c2545f8a495e8648e40ed3458de206efa3cf91543e3c99611907#rd
35,04.22(周四),这课程很火!  独一无二的专业…,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900851&idx=1&sn=05477ca05ff8bf28bd37fd64625dc52a&chksm=8f5cd786b82b5e90016fd76c8573734a2529f4f90206760672c03ad7d52aa8e07de8316abcab#rd
36,04.20(周二),学霸! 理大建设及环境学院卓越学生 难忘国际化的交流及服务,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900849&idx=1&sn=921e744452d52e952360b84540d0502b&chksm=8f5cd784b82b5e929122b511abbcddfaa9d43fe9a64f33780bc3f18e5e72fc166201322d8209#rd
37,04.19(周一),交朋友真的一点儿都不难,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900821&idx=1&sn=3014f620ef7210b1c0ccd7d422c11a12&chksm=8f5cd7a0b82b5eb635a3a6d489e933f789f8a6f612a45edb49403d04b0f42655193d18918d87#rd
38,04.17(周六),工程学院副院长授课! 理大云讲堂约定你! 还有招生重点,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900819&idx=1&sn=5e05305ab4f6e62f168edc3c2107c3c4&chksm=8f5cd7a6b82b5eb014c81926fc334ee9884cab09aa4f203b9a6929db1dde3bf7fb7399a6dca8#rd
39,04.16(周五),"高考倒计时50天 ! 高考, 我们也拼过! 来看我们的加油信!",-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900818&idx=1&sn=ae48ae9d1dc1a02490c0293eb0e9514c&chksm=8f5cd7a7b82b5eb129178fdafb809e0cc3dcc84f838b44fe0cb397f7e31e0c9218b995916091#rd
40,04.15(周四),建环学院! 来了解打造智慧、可持续和韧性城市 还有招生重点,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900672&idx=1&sn=6dc7be2397638fb6677f65cd3c16b2d5&chksm=8f5cd635b82b5f230d23499307a7341c35572b45089fdea9500347b5cfe2f49b6447f8ce763f#rd
41,04.14(周三),想了解奖学金? 这一篇必看!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900623&idx=1&sn=96f7ed0eea4a9ad44305d816bab33232&chksm=8f5cd6fab82b5fecf43316d8785c8a956ebbdceb7072abaeafd0f0d9940108c131de19c2432d#rd
42,04.12(周一),强强联合!金融科技及人工智能 超期待的学长分享!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900567&idx=1&sn=29a212a3a22c5337a2dcf8435eb97639&chksm=8f5cd6a2b82b5fb4a7af9c5b7d0ff864d29352669ca51b8d60c4aa6db0ec297f59e314266caf#rd
